,filename,TARGET,MOVEMENT,ZOOM,LANDMARKS
0,gaussian_xyz/case-100229/case-100229_-74.28215089759867_-43.42623765958257_118.8403127727064.png,1: Skull,"UP: 1.0, LEFT: 0.2",IN: 0.2,"[13: Left hemidiaphragm, 11: Carina, 5: Left scapular inferior angle]"
1,gaussian_xyz/case-100229/case-100229_-35.17830673171693_49.70510620981064_49.28362051980605.png,1: Skull,"UP: 0.9, RIGHT: 0.2",OUT: 0.1,"[11: Carina, 10: T1, 12: Right hemidiaphragm]"
2,gaussian_xyz/case-100229/case-100229_-33.72736637531153_36.505665141872896_24.13530787221423.png,1: Skull,"UP: 0.9, RIGHT: 0.2",OUT: 0.3,"[11: Carina, 10: T1, 12: Right hemidiaphragm]"
3,gaussian_xyz/case-100229/case-100229_-104.86620300972965_74.62866698424307_-21.31998908538825.png,1: Skull,"UP: 1.0, RIGHT: 0.4",OUT: 0.5,"[12: Right hemidiaphragm, 4: Right scapular inferior angle, 9: Left wrist]"
4,gaussian_xyz/case-100229/case-100229_-173.08997054919095_-35.579862483302016_-154.54312283609625.png,1: Skull,"UP: 1.0, LEFT: 0.2",OUT: 1.0,"[14: T12, 13: Left hemidiaphragm, 8: Right wrist]"
5,gaussian_xyz/case-100229/case-100229_-126.18553663546378_2.0520482090293295_27.445574881902534.png,1: Skull,"UP: 1.0, DONE",OUT: 0.2,"[13: Left hemidiaphragm, 11: Carina, 12: Right hemidiaphragm]"
6,gaussian_xyz/case-100229/case-100229_-145.47980458234076_9.38587009662923_-171.93412714909974.png,1: Skull,"UP: 1.0, DONE",OUT: 1.0,"[14: T12, 12: Right hemidiaphragm, 13: Left hemidiaphragm]"
7,gaussian_xyz/case-100229/case-100229_57.2483864442176_-19.763718263763575_6.157643832426957.png,1: Skull,"UP: 0.4, LEFT: 0.1",OUT: 0.3,"[10: T1, 1: Skull, 3: Left humeral head]"
8,gaussian_xyz/case-100229/case-100229_-51.65668273661967_-81.77280130285426_11.502003401818058.png,1: Skull,"UP: 0.9, LEFT: 0.4",OUT: 0.3,"[13: Left hemidiaphragm, 5: Left scapular inferior angle, 11: Carina]"
9,gaussian_xyz/case-100229/case-100229_-128.6743170493368_-53.971259903445564_100.4662979197621.png,1: Skull,"UP: 1.0, LEFT: 0.3",IN: 0.1,"[13: Left hemidiaphragm, 5: Left scapular inferior angle, 8: Right wrist]"
10,gaussian_xyz/case-100229/case-100229_-56.09741928092396_-85.08771540296976_-24.896634320685397.png,1: Skull,"UP: 1.0, LEFT: 0.4",OUT: 0.5,"[13: Left hemidiaphragm, 5: Left scapular inferior angle, 11: Carina]"
