,filename,TARGET,MOVEMENT,ZOOM,LANDMARKS
0,gaussian_xyz/case-100229/case-100229_-181.26641604499994_29.66130488009697_-130.9630902907601.png,1: Skull,"UP: 1.0, RIGHT: 0.1",OUT: 1.0,"[14: T12, 12: Right hemidiaphragm, 6: Right elbow]"
1,gaussian_xyz/case-100229/case-100229_-181.26641604499994_29.66130488009697_-130.9630902907601.png,2: Right humeral head,"UP: 1.0, LEFT: 0.5",OUT: 1.0,"[14: T12, 12: Right hemidiaphragm, 6: Right elbow]"
2,gaussian_xyz/case-100229/case-100229_-181.26641604499994_29.66130488009697_-130.9630902907601.png,3: Left humeral head,"UP: 1.0, RIGHT: 0.8",OUT: 1.0,"[14: T12, 12: Right hemidiaphragm, 6: Right elbow]"
3,gaussian_xyz/case-100229/case-100229_-181.26641604499994_29.66130488009697_-130.9630902907601.png,4: Right scapular inferior angle,"UP: 0.3, LEFT: 0.5",OUT: 1.0,"[14: T12, 12: Right hemidiaphragm, 6: Right elbow]"
4,gaussian_xyz/case-100229/case-100229_-181.26641604499994_29.66130488009697_-130.9630902907601.png,5: Left scapular inferior angle,"UP: 0.3, RIGHT: 0.7",OUT: 1.0,"[14: T12, 12: Right hemidiaphragm, 6: Right elbow]"
5,gaussian_xyz/case-100229/case-100229_76.88330873978487_-36.29872679515776_-112.2299664502123.png,1: Skull,"UP: 0.3, LEFT: 0.2",OUT: 0.9,"[1: Skull, 10: T1, 3: Left humeral head]"
6,gaussian_xyz/case-100229/case-100229_76.88330873978487_-36.29872679515776_-112.2299664502123.png,2: Right humeral head,"DOWN: 0.3, LEFT: 0.9",OUT: 0.9,"[1: Skull, 10: T1, 3: Left humeral head]"
7,gaussian_xyz/case-100229/case-100229_76.88330873978487_-36.29872679515776_-112.2299664502123.png,3: Left humeral head,"DOWN: 0.3, RIGHT: 0.4",OUT: 0.9,"[1: Skull, 10: T1, 3: Left humeral head]"
8,gaussian_xyz/case-100229/case-100229_76.88330873978487_-36.29872679515776_-112.2299664502123.png,4: Right scapular inferior angle,"DOWN: 1.0, LEFT: 0.8",OUT: 0.9,"[1: Skull, 10: T1, 3: Left humeral head]"
9,gaussian_xyz/case-100229/case-100229_76.88330873978487_-36.29872679515776_-112.2299664502123.png,5: Left scapular inferior angle,"DOWN: 1.0, RIGHT: 0.4",OUT: 0.9,"[1: Skull, 10: T1, 3: Left humeral head]"
10,gaussian_xyz/case-100229/case-100229_-102.95866766709415_-27.86783105951442_57.22770357359339.png,1: Skull,"UP: 1.0, LEFT: 0.1",OUT: 0.1,"[13: Left hemidiaphragm, 11: Carina, 5: Left scapular inferior angle]"
11,gaussian_xyz/case-100229/case-100229_-102.95866766709415_-27.86783105951442_57.22770357359339.png,2: Right humeral head,"UP: 0.6, LEFT: 0.8",OUT: 0.1,"[13: Left hemidiaphragm, 11: Carina, 5: Left scapular inferior angle]"
12,gaussian_xyz/case-100229/case-100229_-102.95866766709415_-27.86783105951442_57.22770357359339.png,3: Left humeral head,"UP: 0.6, RIGHT: 0.5",OUT: 0.1,"[13: Left hemidiaphragm, 11: Carina, 5: Left scapular inferior angle]"
13,gaussian_xyz/case-100229/case-100229_-102.95866766709415_-27.86783105951442_57.22770357359339.png,4: Right scapular inferior angle,"DOWN: 0.1, LEFT: 0.8",OUT: 0.1,"[13: Left hemidiaphragm, 11: Carina, 5: Left scapular inferior angle]"
14,gaussian_xyz/case-100229/case-100229_-102.95866766709415_-27.86783105951442_57.22770357359339.png,5: Left scapular inferior angle,"DOWN: 0.1, RIGHT: 0.4",OUT: 0.1,"[13: Left hemidiaphragm, 11: Carina, 5: Left scapular inferior angle]"
15,gaussian_xyz/case-100229/case-100229_91.68233272144721_-0.016303673996624978_68.381589284739.png,1: Skull,"UP: 0.2, DONE",DONE,"[1: Skull, 10: T1, 3: Left humeral head]"
16,gaussian_xyz/case-100229/case-100229_91.68233272144721_-0.016303673996624978_68.381589284739.png,2: Right humeral head,"DOWN: 0.4, LEFT: 0.7",DONE,"[1: Skull, 10: T1, 3: Left humeral head]"
17,gaussian_xyz/case-100229/case-100229_91.68233272144721_-0.016303673996624978_68.381589284739.png,3: Left humeral head,"DOWN: 0.3, RIGHT: 0.6",DONE,"[1: Skull, 10: T1, 3: Left humeral head]"
18,gaussian_xyz/case-100229/case-100229_91.68233272144721_-0.016303673996624978_68.381589284739.png,4: Right scapular inferior angle,"DOWN: 1.0, LEFT: 0.7",DONE,"[1: Skull, 10: T1, 3: Left humeral head]"
19,gaussian_xyz/case-100229/case-100229_91.68233272144721_-0.016303673996624978_68.381589284739.png,5: Left scapular inferior angle,"DOWN: 1.0, RIGHT: 0.6",DONE,"[1: Skull, 10: T1, 3: Left humeral head]"
20,gaussian_xyz/case-100229/case-100229_-69.07507255949778_-35.21584082064245_29.236560154950542.png,1: Skull,"UP: 1.0, LEFT: 0.2",OUT: 0.2,"[11: Carina, 13: Left hemidiaphragm, 10: T1]"
21,gaussian_xyz/case-100229/case-100229_-69.07507255949778_-35.21584082064245_29.236560154950542.png,2: Right humeral head,"UP: 0.4, LEFT: 0.9",OUT: 0.2,"[11: Carina, 13: Left hemidiaphragm, 10: T1]"
22,gaussian_xyz/case-100229/case-100229_-69.07507255949778_-35.21584082064245_29.236560154950542.png,3: Left humeral head,"UP: 0.5, RIGHT: 0.4",OUT: 0.2,"[11: Carina, 13: Left hemidiaphragm, 10: T1]"
23,gaussian_xyz/case-100229/case-100229_-69.07507255949778_-35.21584082064245_29.236560154950542.png,4: Right scapular inferior angle,"DOWN: 0.3, LEFT: 0.8",OUT: 0.2,"[11: Carina, 13: Left hemidiaphragm, 10: T1]"
24,gaussian_xyz/case-100229/case-100229_-69.07507255949778_-35.21584082064245_29.236560154950542.png,5: Left scapular inferior angle,"DOWN: 0.3, RIGHT: 0.4",OUT: 0.2,"[11: Carina, 13: Left hemidiaphragm, 10: T1]"
25,gaussian_xyz/case-100229/case-100229_31.389577049948798_16.233934444533546_-82.84231917056825.png,1: Skull,"UP: 0.5, RIGHT: 0.1",OUT: 0.8,"[10: T1, 11: Carina, 1: Skull]"
26,gaussian_xyz/case-100229/case-100229_31.389577049948798_16.233934444533546_-82.84231917056825.png,2: Right humeral head,"DOWN: 0.1, LEFT: 0.6",OUT: 0.8,"[10: T1, 11: Carina, 1: Skull]"
27,gaussian_xyz/case-100229/case-100229_31.389577049948798_16.233934444533546_-82.84231917056825.png,3: Left humeral head,"DONE, RIGHT: 0.7",OUT: 0.8,"[10: T1, 11: Carina, 1: Skull]"
28,gaussian_xyz/case-100229/case-100229_31.389577049948798_16.233934444533546_-82.84231917056825.png,4: Right scapular inferior angle,"DOWN: 0.8, LEFT: 0.6",OUT: 0.8,"[10: T1, 11: Carina, 1: Skull]"
29,gaussian_xyz/case-100229/case-100229_31.389577049948798_16.233934444533546_-82.84231917056825.png,5: Left scapular inferior angle,"DOWN: 0.8, RIGHT: 0.7",OUT: 0.8,"[10: T1, 11: Carina, 1: Skull]"
30,gaussian_xyz/case-100229/case-100229_32.95308935569608_-13.873835359655331_62.328947035984605.png,1: Skull,"UP: 0.5, LEFT: 0.1",OUT: 0.1,"[10: T1, 11: Carina, 1: Skull]"
31,gaussian_xyz/case-100229/case-100229_32.95308935569608_-13.873835359655331_62.328947035984605.png,2: Right humeral head,"DOWN: 0.1, LEFT: 0.8",OUT: 0.1,"[10: T1, 11: Carina, 1: Skull]"
32,gaussian_xyz/case-100229/case-100229_32.95308935569608_-13.873835359655331_62.328947035984605.png,3: Left humeral head,"DONE, RIGHT: 0.6",OUT: 0.1,"[10: T1, 11: Carina, 1: Skull]"
33,gaussian_xyz/case-100229/case-100229_32.95308935569608_-13.873835359655331_62.328947035984605.png,4: Right scapular inferior angle,"DOWN: 0.8, LEFT: 0.7",OUT: 0.1,"[10: T1, 11: Carina, 1: Skull]"
34,gaussian_xyz/case-100229/case-100229_32.95308935569608_-13.873835359655331_62.328947035984605.png,5: Left scapular inferior angle,"DOWN: 0.8, RIGHT: 0.5",OUT: 0.1,"[10: T1, 11: Carina, 1: Skull]"
35,gaussian_xyz/case-100229/case-100229_-128.6743170493368_-53.971259903445564_100.4662979197621.png,1: Skull,"UP: 1.0, LEFT: 0.3",IN: 0.1,"[13: Left hemidiaphragm, 5: Left scapular inferior angle, 8: Right wrist]"
36,gaussian_xyz/case-100229/case-100229_-128.6743170493368_-53.971259903445564_100.4662979197621.png,2: Right humeral head,"UP: 0.7, LEFT: 1.0",IN: 0.1,"[13: Left hemidiaphragm, 5: Left scapular inferior angle, 8: Right wrist]"
37,gaussian_xyz/case-100229/case-100229_-128.6743170493368_-53.971259903445564_100.4662979197621.png,3: Left humeral head,"UP: 0.8, RIGHT: 0.4",IN: 0.1,"[13: Left hemidiaphragm, 5: Left scapular inferior angle, 8: Right wrist]"
38,gaussian_xyz/case-100229/case-100229_-128.6743170493368_-53.971259903445564_100.4662979197621.png,4: Right scapular inferior angle,"DONE, LEFT: 0.9",IN: 0.1,"[13: Left hemidiaphragm, 5: Left scapular inferior angle, 8: Right wrist]"
39,gaussian_xyz/case-100229/case-100229_-128.6743170493368_-53.971259903445564_100.4662979197621.png,5: Left scapular inferior angle,"DONE, RIGHT: 0.3",IN: 0.1,"[13: Left hemidiaphragm, 5: Left scapular inferior angle, 8: Right wrist]"
40,gaussian_xyz/case-100229/case-100229_122.86340552106975_36.71465075230189_-84.63026207203708.png,1: Skull,"UP: 0.1, RIGHT: 0.2",OUT: 0.8,"[1: Skull, 10: T1, 2: Right humeral head]"
41,gaussian_xyz/case-100229/case-100229_122.86340552106975_36.71465075230189_-84.63026207203708.png,2: Right humeral head,"DOWN: 0.5, LEFT: 0.5",OUT: 0.8,"[1: Skull, 10: T1, 2: Right humeral head]"
42,gaussian_xyz/case-100229/case-100229_122.86340552106975_36.71465075230189_-84.63026207203708.png,3: Left humeral head,"DOWN: 0.5, RIGHT: 0.8",OUT: 0.8,"[1: Skull, 10: T1, 2: Right humeral head]"
43,gaussian_xyz/case-100229/case-100229_122.86340552106975_36.71465075230189_-84.63026207203708.png,4: Right scapular inferior angle,"DOWN: 1.0, LEFT: 0.5",OUT: 0.8,"[1: Skull, 10: T1, 2: Right humeral head]"
44,gaussian_xyz/case-100229/case-100229_122.86340552106975_36.71465075230189_-84.63026207203708.png,5: Left scapular inferior angle,"DOWN: 1.0, RIGHT: 0.8",OUT: 0.8,"[1: Skull, 10: T1, 2: Right humeral head]"
45,gaussian_xyz/case-100229/case-100229_-0.47922289621632785_-21.98228084270386_161.7795942793301.png,1: Skull,"UP: 0.7, LEFT: 0.1",IN: 0.4,"[10: T1, 11: Carina, 3: Left humeral head]"
46,gaussian_xyz/case-100229/case-100229_-0.47922289621632785_-21.98228084270386_161.7795942793301.png,2: Right humeral head,"UP: 0.1, LEFT: 0.8",IN: 0.4,"[10: T1, 11: Carina, 3: Left humeral head]"
47,gaussian_xyz/case-100229/case-100229_-0.47922289621632785_-21.98228084270386_161.7795942793301.png,3: Left humeral head,"UP: 0.1, RIGHT: 0.5",IN: 0.4,"[10: T1, 11: Carina, 3: Left humeral head]"
48,gaussian_xyz/case-100229/case-100229_-0.47922289621632785_-21.98228084270386_161.7795942793301.png,4: Right scapular inferior angle,"DOWN: 0.6, LEFT: 0.8",IN: 0.4,"[10: T1, 11: Carina, 3: Left humeral head]"
49,gaussian_xyz/case-100229/case-100229_-0.47922289621632785_-21.98228084270386_161.7795942793301.png,5: Left scapular inferior angle,"DOWN: 0.6, RIGHT: 0.5",IN: 0.4,"[10: T1, 11: Carina, 3: Left humeral head]"
50,gaussian_xyz/case-100229/case-100229_-30.12639525742199_-44.212689233086934_-105.43046307894119.png,1: Skull,"UP: 0.8, LEFT: 0.2",OUT: 0.9,"[11: Carina, 10: T1, 13: Left hemidiaphragm]"
51,gaussian_xyz/case-100229/case-100229_-30.12639525742199_-44.212689233086934_-105.43046307894119.png,2: Right humeral head,"UP: 0.2, LEFT: 0.9",OUT: 0.9,"[11: Carina, 10: T1, 13: Left hemidiaphragm]"
52,gaussian_xyz/case-100229/case-100229_-30.12639525742199_-44.212689233086934_-105.43046307894119.png,3: Left humeral head,"UP: 0.3, RIGHT: 0.4",OUT: 0.9,"[11: Carina, 10: T1, 13: Left hemidiaphragm]"
53,gaussian_xyz/case-100229/case-100229_-30.12639525742199_-44.212689233086934_-105.43046307894119.png,4: Right scapular inferior angle,"DOWN: 0.5, LEFT: 0.9",OUT: 0.9,"[11: Carina, 10: T1, 13: Left hemidiaphragm]"
54,gaussian_xyz/case-100229/case-100229_-30.12639525742199_-44.212689233086934_-105.43046307894119.png,5: Left scapular inferior angle,"DOWN: 0.5, RIGHT: 0.4",OUT: 0.9,"[11: Carina, 10: T1, 13: Left hemidiaphragm]"
55,gaussian_xyz/case-100229/case-100229_-0.2849881068497382_1.7614554535031914_23.541829091830753.png,1: Skull,"UP: 0.7, DONE",OUT: 0.3,"[10: T1, 11: Carina, 3: Left humeral head]"
56,gaussian_xyz/case-100229/case-100229_-0.2849881068497382_1.7614554535031914_23.541829091830753.png,2: Right humeral head,"UP: 0.1, LEFT: 0.7",OUT: 0.3,"[10: T1, 11: Carina, 3: Left humeral head]"
57,gaussian_xyz/case-100229/case-100229_-0.2849881068497382_1.7614554535031914_23.541829091830753.png,3: Left humeral head,"UP: 0.1, RIGHT: 0.6",OUT: 0.3,"[10: T1, 11: Carina, 3: Left humeral head]"
58,gaussian_xyz/case-100229/case-100229_-0.2849881068497382_1.7614554535031914_23.541829091830753.png,4: Right scapular inferior angle,"DOWN: 0.6, LEFT: 0.7",OUT: 0.3,"[10: T1, 11: Carina, 3: Left humeral head]"
59,gaussian_xyz/case-100229/case-100229_-0.2849881068497382_1.7614554535031914_23.541829091830753.png,5: Left scapular inferior angle,"DOWN: 0.6, RIGHT: 0.6",OUT: 0.3,"[10: T1, 11: Carina, 3: Left humeral head]"
60,gaussian_xyz/case-100229/case-100229_-28.583089835153118_22.38874765889676_-105.58903067723226.png,1: Skull,"UP: 0.8, RIGHT: 0.1",OUT: 0.9,"[10: T1, 11: Carina, 12: Right hemidiaphragm]"
